,Time,precip,irrad,temp,height,lai,biomass,yield,HI,frPHU,transpiration,evapotrans,w_stress,n_stress,t_stress,n_uptake,nitrogen_level,swc,runoff,w_uptake,fertilizer,irrig,reward,dones
0,2022-09-01,2.51,13.9,21.413242152594528,0.055383731504908974,0.0014723312530060821,0.005,2.526516823441852e-08,8.395926134496889e-06,0.009212391588320417,0.0,0.8576984206997537,1.0,0.07287782259494724,0.00750830082289744,6.977035360432836e-05,0.037578624646395664,1.652301579300246,0.0,0.0,0,0,2.526516823441852e-08,False
1,2022-09-02,3.53,19.33,22.093733172773668,0.08459211781673427,0.0014723312530060821,0.03843869358369309,4.4020457100880723e-07,1.896740884146588e-05,0.018892153382807825,0.0035203251782134435,1.104010561979744,4.540199100966369e-05,0.07259006211612762,0.004471843823503074,6.947764293957362e-05,0.05287891735706042,4.078291017320502,0.0,0.0035203251782134435,0,0,4.4020457100880723e-07,False
2,2022-09-03,7.78,19.25,20.37380390433155,0.10777968349650227,0.003534259484592657,0.1183468304564987,2.145279684944859e-06,2.9938402310251407e-05,0.02739064507534323,0.008528324608464817,1.1149418592752611,4.540199100966369e-05,0.07228918206804691,0.014624700852408523,0.00053176600258355,0.11616662899741645,10.743349158045241,0.0,0.008528324608464817,0,0,2.145279684944859e-06,False
3,2022-09-04,4.27,17.72,23.92027080840499,0.1370906779956761,0.006852548343611363,0.26088343662912283,7.407843497330766e-06,4.672840422217727e-05,0.03832489700419281,0.015634695105516763,1.0553398505408207,4.540199100966369e-05,0.07182584985680951,0.0004846900729056358,0.0016259927844143787,0.062422402215585614,13.95800930750442,0.0,0.015634695105516763,0,0,7.407843497330766e-06,False
4,2022-09-05,4.4,19.51,20.426564414805135,0.16041023611959038,0.01006077066227962,0.49115885965314526,1.8623311497011315e-05,6.222320587346222e-05,0.046859625311064475,0.02475781734409827,1.139432353078136,4.540199100966369e-05,0.07139640032053152,0.01417513376463364,0.0035612768647080746,0.06243711813529193,17.218576954426286,0.0,0.02475781734409827,0,0,1.8623311497011315e-05,False
5,2022-09-06,14.61,18.6,21.298252634343797,0.1862661984999939,0.014206885317335799,0.800926664873197,3.987617896600204e-05,8.145886425249947e-05,0.055993040581905,0.03317105209719539,1.082560683071964,4.540199100966369e-05,0.07086207008321688,0.00813378633616968,0.006650446506367633,0.21249794849363235,30.74601627135432,0.0,0.03317105209719539,0,0,3.987617896600204e-05,False
6,2022-09-07,34.44,17.52,22.402881417158042,0.21567500481866547,0.019676051440247373,1.2046113006298407,7.815668538484687e-05,0.00010581159623928732,0.06588512946731574,0.043482797165554414,1.02645977613311,4.540199100966369e-05,0.0701852492247792,0.003421223368414328,0.010731963949202089,0.49216714347420576,62.85486244030768,1.3046940549135324,0.043482797165554414,0,0,7.815668538484687e-05,False
7,2022-09-08,43.11,5.36,20.845925282455113,0.24338172438016864,0.025563007219273973,1.364878597220931,0.0001099858963344849,0.0001310415648456262,0.07470788034812283,0.024112703308241654,0.43896030928565105,4.540199100966369e-05,0.06948511741207741,0.010961430822183149,0.015964271498649985,0.5045532973317034,98.30728355902839,7.2186185719936455,0.024112703308241654,0,0,0.0001099858963344849,False
8,2022-09-09,20.590000000000003,12.06,20.263818605166104,0.27130845109033697,0.03221832292365721,1.8187552474096502,0.0001778933316237156,0.00015862199947664846,0.08313083268683581,0.05203270171320999,0.7531841445173629,4.540199100966369e-05,0.06872235735332843,0.015596846538444287,0.017868231510314442,0.22125639639147954,115.49194278219875,2.6521566323122774,0.05203270171320999,0,0,0.0001778933316237156,False
9,2022-09-10,22.17,14.32,21.920878534356884,0.3049375848167785,0.04119476640507716,2.506570425126287,0.00030170618784348616,0.00019459766511535005,0.09269187563625675,0.07330745464278378,0.8323304184209326,4.540199100966369e-05,0.06773320791676196,0.005143298280357755,0.02342633119213766,0.19140466722683575,130.31142284183653,6.518189521941305,0.07330745464278378,0,0,0.00030170618784348616,False
10,2022-09-11,18.13,20.03,21.15359142879691,0.3387624126080049,0.05128567525035488,3.701777948124668,0.0005367535939845814,0.00023373898469526434,0.10172593568350738,0.11787234066790932,1.0785062205842262,4.540199100966369e-05,0.06666625807633031,0.008972368342887727,0.03170864537129425,0.11111181356113509,139.06089832511054,8.302018296141773,0.11787234066790932,0,0,0.0005367535939845814,False
11,2022-09-12,8.21,18.39,22.735360098705986,0.3792069832692427,0.06475127529849604,5.083247361666184,0.0008995458879902103,0.0002843373505793917,0.11184637531173952,0.14648094159096378,1.066174490227686,4.5401991009441645e-05,0.06530362125702771,0.002486433974953961,0.045725026318934714,0.00934961098312899,142.76828685721605,3.436436977666789,0.14648094159096378,0,0,0.0008995458879902103,False
12,2022-09-13,10.61,17.97,21.684035589059913,0.41934497154171335,0.07962552653240569,6.737858579519948,0.0014240605545152803,0.0003385701971658925,0.12124475140312681,0.17453152343971015,1.0380064970675893,4.54019910052228e-05,0.06386618972220137,0.0061700498920637115,0.061165300053520166,0.008762955082946791,146.27344392130524,6.066836438843211,0.17453152343971015,0,0,0.0014240605545152803,False
13,2022-09-14,3.05,20.1,19.955701724298287,0.4565620802752234,0.09476499609265256,8.93305071694119,0.002193945107116064,0.0003923982703997255,0.12945608500498001,0.21707832862647583,1.0900934159475575,4.540199097169406e-05,0.06246480554693845,0.018587634281065357,0.07894120292014728,0.07595592836307383,147.47695165561865,0.7563988497390496,0.21707832862647583,0,0,0.002193945107116064,False
