,Time,precip,irrad,temp,height,lai,biomass,yield,HI,frPHU,transpiration,evapotrans,w_stress,n_stress,t_stress,n_uptake,nitrogen_level,swc,runoff,w_uptake,fertilizer,irrig,reward,dones
0,2022-09-01,2.51,13.9,23.618628473430316,0.06036974292236716,0.0017493622779119523,0.005,2.988317627620585e-08,9.925553591800656e-06,0.010727079995487854,0.0,0.8576984206997537,1.0,0.07283635105727027,0.0008241320474925429,6.972822156432127e-05,60.03757866677844,1.652301579300246,0.0,0.0,60,50,-153.79999997011683,False
1,2022-09-02,3.53,19.33,22.586509850511987,0.08974370467226028,0.0017493622779119523,0.04472951415523224,5.733645736272059e-07,2.1217405580685648e-05,0.020745287310399933,0.004182326305081008,1.104010561979744,4.540199100966369e-05,0.07252851475728028,0.002881392715362585,6.941492516512903e-05,0.052878980074834867,4.078291017320502,0.0,0.004182326305081008,0,50,-7.999999426635426,False
2,2022-09-03,7.78,19.25,22.60649746807201,0.11684847046337392,0.004337878634807353,0.1427956884394947,3.012027600780458e-06,3.4798431001774256e-05,0.030777222384625217,0.010464760858601456,1.1149418592752611,4.540199100966369e-05,0.07215536010751866,0.0028261928538728665,0.0006175699081955054,60.11608082509181,10.743349158045241,0.0,0.010464760858601456,60,50,-153.7999969879724,False
3,2022-09-04,4.27,17.72,20.416507296635512,0.13973813071674923,0.00705339268242907,0.28950768505486,8.516637260192011e-06,4.839535033990915e-05,0.03930504333011664,0.016091889596155456,1.0553398505408207,4.540199100966369e-05,0.07177971579737397,0.014260006542115122,0.001960547867602207,0.06208784713239779,13.95800930750442,0.0,0.016091889596155456,0,50,-7.99999148336274,False
4,2022-09-05,4.4,19.51,21.9426117974856,0.16604049845491098,0.01077275598624351,0.5360519060646737,2.1649446033186455e-05,6.623223001657134e-05,0.04888101297124686,0.026503763510240756,1.139432353078136,4.540199100966369e-05,0.07128511135003868,0.005055375629084757,0.00394537240752919,60.06205302259247,17.218576954426286,0.0,0.026503763510240756,60,50,-153.79997835055397,False
5,2022-09-06,14.61,18.6,21.785241020731014,0.19312565903766507,0.015272720866638095,0.868998381573201,4.619554327108616e-05,8.690885240560984e-05,0.05834889828768299,0.03564729566052863,1.082560683071964,4.540199100966369e-05,0.07071058381347017,0.005715636735320273,0.007241456235866937,0.21190693876413305,30.74601627135432,0.0,0.03564729566052863,0,50,-7.999953804456729,False
6,2022-09-07,34.44,17.52,21.817258518517537,0.22168259824861614,0.02075392074599511,1.2947155758887319,8.825538251067087e-05,0.00011109748942431595,0.06783877364380766,0.0458487895986548,1.02645977613311,4.540199100966369e-05,0.07003843163962686,0.0055768088794402315,0.011617413653355307,60.49128169377005,62.85486244030768,1.3046940549135324,0.0458487895986548,60,0,-145.7999117446175,False
7,2022-09-08,43.11,5.36,20.45784767780147,0.2488550365072943,0.026672215165099947,1.4619030187169562,0.00012258041802746587,0.00013627945829833364,0.07639498770823175,0.025149938579397596,0.43896030928565105,4.540199100966369e-05,0.06934001502311526,0.013913583770642668,0.017118821437175205,0.5081861837250757,98.30728355902839,7.2186185719936455,0.025149938579397596,0,0,0.00012258041802746587,False
8,2022-09-09,20.590000000000003,12.06,21.454868235432706,0.2799142323729362,0.034277106633040746,1.9445884909597027,0.00020106318405317282,0.0001675444798146226,0.08563596863916081,0.055320750096002846,0.7531841445173629,4.540199100966369e-05,0.06847636146384595,0.007290520396876721,0.019062010043389477,60.214623362381005,115.49194278219875,2.6521566323122774,0.055320750096002846,60,0,-145.79979893681596,False
9,2022-09-10,22.17,14.32,21.297171539887422,0.31253119419537984,0.04322930869723336,2.666079436174121,0.00033520033825859997,0.0002031295699662916,0.0947686414000725,0.07687737266983996,0.8323304184209326,4.540199100966369e-05,0.06749975968557476,0.008139836600609573,0.024949619125912786,0.19513096039557756,130.31142284183653,6.518189521941305,0.07687737266983996,0,0,0.00033520033825859997,False
10,2022-09-11,18.13,20.03,22.015796279806093,0.34915900623476703,0.054463226151026986,3.9345008980154477,0.0006018057844102039,0.00024635406351149967,0.10439487510873054,0.1250469963481216,1.0785062205842262,4.540199100966369e-05,0.06632469168330324,0.004766777039227343,0.03352843977454947,60.10406833383401,139.06089832511054,8.302018296141773,0.1250469963481216,60,0,-145.7993981942156,False
11,2022-09-12,8.21,18.39,21.43906128855294,0.3866076526931579,0.06724276636764082,5.368370486965593,0.0009829727972363788,0.00029403748317577834,0.11362499962009932,0.15199497123305933,1.066174490227686,4.54019910092196e-05,0.06504470914208349,0.007372687750331619,0.048374800070753676,0.0023372678832879606,142.76828685721605,3.436436977666789,0.15199497123305933,0,0,0.0009829727972363788,False
12,2022-09-13,10.61,17.97,19.50530116932341,0.4205903523825034,0.07997411558031246,7.030120130062107,0.001493629076882171,0.0003403164205054883,0.12152699218144782,0.17527591051856242,1.0380064970675893,4.540199100455666e-05,0.06382032445736852,0.0237532301767045,0.06454091432359349,59.99779707861313,146.27344392130524,6.066836438843211,0.17527591051856242,60,0,-145.79850637092312,False
13,2022-09-14,3.05,20.1,21.35001987007766,0.4623617431982987,0.09710330140337317,9.27832394111796,0.002330156373946735,0.00040109258327986817,0.13069596187243523,0.22226746885824977,1.0900934159475575,4.540199095859343e-05,0.06224090211040356,0.007847802405724136,0.08200623842566157,0.08131560933656164,147.47695165561865,0.7563988497390496,0.22226746885824977,0,0,0.002330156373946735,False
