,Time,precip,irrad,temp,height,lai,biomass,yield,HI,frPHU,transpiration,evapotrans,w_stress,n_stress,t_stress,n_uptake,nitrogen_level,swc,runoff,w_uptake,fertilizer,irrig,reward,dones
0,2021-09-01,0.29,20.95,20.624091068893136,0.053536133623780624,0.0013757360287830092,0.005,2.3645958340736442e-08,7.859257410813351e-06,0.008670392217646384,0.0,1.2174252444435991,1.0,0.07289235762886703,0.012584322366888223,6.978511592606556e-05,53.813855365192886,0.0,0.0,0.0,53.80957675530881,0.0,-130.75727149175447,False
1,2021-09-02,0.31,19.83,19.455422764887874,0.0779162117728986,0.0013757360287830092,0.005,4.892162262472895e-08,1.621778912738327e-05,0.016538127633091353,0.0,1.1465524575069925,1.0,0.07266514620598474,0.02438958936938762,6.955410149604089e-05,57.999315032247935,0.0,0.0,0.0,57.99473619134943,0.0,-140.9272088960575,False
2,2021-09-03,0.10999999999999999,19.25,20.872250032609962,0.10236819885541233,0.0013757360287830092,0.005,8.225185476731408e-08,2.71872755078187e-05,0.025378958699444353,0.0,1.102628535454629,1.0,0.07236480290021563,0.01077970995603883,6.924790775425337e-05,50.110421399585746,0.0,0.0,0.0,50.1088422524935,0.0,-121.76448659130736,False
3,2021-09-04,0.39,21.76,20.982013071659726,0.1262613634144992,0.0013757360287830092,0.005,1.2186957810460092e-07,4.016403394822263e-05,0.034295176468441414,0.0,1.2073790330876732,1.0,0.07200731823717177,0.010045763961129772,6.888222861261081e-05,46.791856299571165,0.0,0.0,0.0,46.786076786799775,0.0,-113.69016647005388,False
4,2021-09-05,0.2,18.45,20.493183739080855,0.14944340576491508,0.0013757360287830092,0.005,1.664763322224675e-07,5.471018440628566e-05,0.04287565980572222,0.0,1.0870667290952833,1.0,0.07160478780324964,0.013622569405847385,6.846885558974648e-05,56.12950947718568,0.0,0.0,0.0,56.12657955104127,0.0,-136.38758814255397,False
5,2021-09-06,7.61,16.37,23.05697932901573,0.17828913024033635,0.0013757360287830092,0.005,2.2991166667641323e-07,7.530143563397112e-05,0.05321699176246379,0.0,0.9872806031431622,1.0,0.07103319092065663,0.0017536328376149823,6.787888891935122e-05,55.767968402867986,6.622719396856838,0.0,0.0,55.653887886756905,0.0,-135.2389473349076,False
6,2021-09-07,5.69,16.32,20.527008346581468,0.20339462053758836,0.0013757360287830092,0.031440487445135834,1.8354206924226471e-06,9.53315240552763e-05,0.0618207062862148,0.0029106843042465474,0.9768825196024267,4.540199100966369e-05,0.07047646862587242,0.01334833957081527,6.730087728244895e-05,53.47550164504736,11.335836877254412,0.0,0.0029106843042465474,53.390220550924646,0.0,-129.7382341033262,False
7,2021-09-08,8.16,19.97,20.398912108051952,0.22946663679541737,0.006598430650901339,0.18646181602584969,1.3522415924349698e-05,0.00011809958304142941,0.07033644262416257,0.016497475006984858,1.1563678546773788,4.540199100966369e-05,0.06984404171576397,0.01440942298833181,0.00041903968039629265,48.854604725430846,18.339469022577035,0.0,0.016497475006984858,48.73262537011124,0.0,-118.4202661269544,False
8,2021-09-09,2.04,23.01,21.33055710490871,0.2590573191034567,0.013290490722697956,0.5457566632895873,4.916316562149254e-05,0.00014626205386578922,0.07949204503138008,0.03670240146958402,1.2800183356455546,4.540199100966369e-05,0.0690637733292443,0.007954469757982974,0.002454537971746879,34.58989195597005,19.09945068693148,0.0,0.03670240146958402,34.5617480989418,0.0,-83.98499871726295,False
9,2021-09-10,0.44999999999999996,22.29,22.031492685497454,0.29215483299923467,0.02173968346916407,1.1140955337189187,0.00012429159364477145,0.00018057317747235775,0.0891290592384525,0.05738260458964566,1.226817806433192,4.540199100966369e-05,0.06811792826019503,0.004706359806662785,0.007074516103800499,41.84325573929425,18.322632880498286,0.0,0.05738260458964566,41.843581860398054,0.0,-101.67977962917362,False
